,Power (hp),Engine cylinder,Bore (mm),Stroke (mm),Cooling system,Transmission type
35,14.8,Single cylinder,57.0,48.6,Liquid,Belt
36,13.0,Single cylinder,48.8,57.0,Liquid,Belt
37,13.0,Single cylinder,48.8,57.0,Liquid,Belt
38,15.8,Single cylinder,61.0,58.0,Liquid,Belt
49,13.0,Single cylinder,48.8,57.0,Liquid,Belt
50,15.8,Single cylinder,61.0,58.0,Liquid,Belt
63,18.0,Twin,54.0,54.0,Air,Chain
64,18.0,Twin,54.0,54.0,Air,Chain
72,11.0,Twin,48.0,54.0,Air,Chain
73,11.0,Twin,48.0,54.0,Air,Chain
74,11.0,Twin,48.0,54.0,Air,Chain
75,16.0,Twin,54.0,54.0,Air,Chain
78,16.0,Twin,54.0,54.0,Air,Chain
79,16.0,Twin,54.0,54.0,Air,Chain
80,16.0,Twin,54.0,54.0,Air,Chain
81,16.0,Twin,54.0,54.0,Air,Chain
86,16.0,Twin,54.0,54.0,Air,Chain
87,16.0,Twin,54.0,54.0,Air,Chain
88,16.0,Twin,54.0,54.0,Air,Chain
89,16.0,Twin,54.0,54.0,Air,Chain
126,8.6,Single cylinder,52.4,57.8,Air,Belt
146,3.7,Single cylinder,40.0,39.2,Air,Belt
154,8.6,Single cylinder,52.4,57.8,Air,Belt
156,3.7,Single cylinder,40.0,39.2,Air,Belt
160,6.8,Single cylinder,52.4,57.8,Air,Belt
161,3.7,Single cylinder,40.0,39.2,Air,Belt
169,25.0,Single cylinder,82.0,65.5,Liquid,Chain
170,27.0,Single cylinder,82.0,65.5,Liquid,Chain
171,30.0,Single cylinder,82.0,65.5,Liquid,Chain
181,8.7,Single cylinder,61.0,57.8,Liquid,Chain
182,6.4,Single cylinder,52.0,45.0,Air,Chain
184,12.1,Single cylinder,65.0,59.0,Air,Chain
185,12.1,Single cylinder,65.0,59.0,Air,Chain
187,19.4,Single cylinder,72.7,65.6,Liquid,Chain
188,16.1,Single cylinder,72.7,65.6,Liquid,Chain
191,20.1,Single cylinder,82.0,65.6,Liquid,Chain
192,20.1,Single cylinder,82.0,65.6,Liquid,Belt
193,3.6,Single cylinder,40.0,39.2,Air,Shaft drive
194,3.6,Single cylinder,40.0,39.2,Air,Shaft drive
195,3.0,Single cylinder,40.0,39.2,Air,Shaft drive
197,20.1,Single cylinder,82.0,65.6,Liquid,Belt
198,20.1,Single cylinder,82.0,65.6,Liquid,Belt
199,18.1,Single cylinder,72.7,65.6,Liquid,Shaft drive
200,18.1,Single cylinder,72.7,65.6,Liquid,Shaft drive
201,20.1,Single cylinder,92.0,85.0,Liquid,Shaft drive
202,20.1,Single cylinder,82.0,65.6,Liquid,Shaft drive
203,20.1,Single cylinder,82.0,65.6,Liquid,Shaft drive
204,10.5,Single cylinder,54.4,57.9,Liquid,Chain
206,22.1,Single cylinder,72.0,60.0,Liquid,Chain
207,22.8,Single cylinder,78.0,65.6,Liquid,Chain
208,26.6,Single cylinder,82.0,65.6,Liquid,Chain
209,32.2,Single cylinder,82.0,65.6,Liquid,Chain
210,27.0,Single cylinder,82.0,65.6,Liquid,Chain
211,14.0,Single cylinder,57.4,57.9,Air,Belt
212,3.6,Single cylinder,40.0,39.2,Air,Chain
213,3.2,Single cylinder,40.0,39.2,Air,Chain
214,3.2,Single cylinder,40.0,39.2,Air,Chain
215,10.7,Single cylinder,56.5,49.5,Air,Chain
216,14.0,Single cylinder,57.3,57.8,Air,Chain
217,8.7,Single cylinder,61.0,57.8,Air,Shaft drive
218,13.1,Single cylinder,62.0,58.4,Air,Chain
219,20.1,Single cylinder,92.0,85.0,Liquid,Shaft drive
220,14.0,Single cylinder,57.4,57.9,Air,Belt
222,22.8,Single cylinder,78.0,65.8,Liquid,Chain
223,6.6,Single cylinder,52.0,45.0,Air,Belt
224,3.6,Single cylinder,40.0,39.2,Air,Shaft drive
225,14.1,Single cylinder,54.4,57.9,Liquid,Chain
226,22.8,Single cylinder,78.0,65.8,Liquid,Chain
227,22.8,Single cylinder,78.0,65.8,Liquid,Chain
228,3.4,Single cylinder,40.0,39.3,Liquid,Chain
230,16.0,Single cylinder,66.0,72.0,Air,Chain
231,16.0,Single cylinder,66.0,72.0,Air,Chain
232,16.0,Single cylinder,66.0,72.0,Air,Chain
233,16.0,Single cylinder,66.0,72.0,Air,Chain
234,16.0,Single cylinder,66.0,72.0,Air,Chain
235,16.0,Single cylinder,66.0,72.0,Air,Chain
236,16.0,Single cylinder,66.0,72.0,Air,Chain
237,16.0,Single cylinder,66.0,72.0,Air,Chain
238,16.0,Single cylinder,66.0,72.0,Air,Chain
239,18.0,Single cylinder,66.0,72.0,Air,Chain
240,18.0,Single cylinder,66.0,72.0,Air,Chain
241,27.0,Single cylinder,74.0,80.0,Air,Chain
242,27.0,Single cylinder,74.0,80.0,Air,Chain
243,9.4,Single cylinder,60.0,61.0,Air,Chain
244,9.4,Single cylinder,60.0,61.0,Air,Chain
245,9.4,Single cylinder,60.0,61.0,Air,Chain
246,9.4,Single cylinder,60.0,61.0,Air,Chain
247,9.4,Single cylinder,60.0,61.0,Air,Chain
251,24.8,Single cylinder,66.0,72.0,Air,Chain
252,24.8,Single cylinder,66.0,72.0,Air,Chain
253,24.8,Single cylinder,66.0,72.0,Air,Chain
254,24.8,Single cylinder,66.0,72.0,Air,Chain
255,24.8,Single cylinder,66.0,72.0,Air,Chain
256,24.8,Single cylinder,66.0,72.0,Air,Chain
257,24.8,Single cylinder,66.0,72.0,Air,Chain
258,24.8,Single cylinder,66.0,72.0,Air,Chain
259,24.8,Single cylinder,66.0,72.0,Air,Chain
260,18.5,Single cylinder,66.0,72.0,Air,Chain
271,13.7,Single cylinder,66.0,72.0,Air,Chain
272,13.7,Single cylinder,66.0,72.0,Air,Chain
273,13.7,Single cylinder,66.0,72.0,Air,Chain
274,13.7,Single cylinder,66.0,72.0,Air,Chain
275,13.7,Single cylinder,66.0,72.0,Air,Chain
281,16.0,Single cylinder,66.0,72.0,Air,Chain
282,16.0,Single cylinder,66.0,72.0,Air,Chain
283,16.0,Single cylinder,66.0,72.0,Air,Chain
284,16.0,Single cylinder,66.0,72.0,Air,Chain
285,16.0,Single cylinder,66.0,72.0,Air,Chain
286,16.0,Single cylinder,66.0,72.0,Air,Chain
287,16.0,Single cylinder,66.0,72.0,Air,Chain
288,5.0,Single cylinder,52.0,58.0,Air,Chain
289,5.0,Single cylinder,52.0,58.0,Air,Chain
290,5.0,Single cylinder,52.0,58.0,Air,Chain
291,5.0,Single cylinder,52.0,58.0,Air,Chain
294,6.0,Single cylinder,57.0,58.0,Air,Chain
295,6.0,Single cylinder,57.0,58.0,Air,Chain
296,6.0,Single cylinder,57.0,58.0,Air,Chain
304,1.3,Single cylinder,38.0,42.0,Air,Chain
305,1.3,Single cylinder,38.0,42.0,Air,Chain
306,1.3,Single cylinder,38.0,42.0,Air,Chain
307,1.3,Single cylinder,38.0,42.0,Air,Chain
310,4.3,Single cylinder,40.0,39.0,Air,Chain
311,4.3,Single cylinder,40.0,39.0,Air,Chain
312,4.3,Single cylinder,40.0,39.0,Air,Chain
313,4.3,Single cylinder,40.0,39.0,Air,Chain
314,4.3,Single cylinder,40.0,39.0,Air,Chain
315,4.3,Single cylinder,40.0,39.0,Air,Chain
321,4.7,Single cylinder,50.0,48.0,Air,Chain
327,9.5,Single cylinder,40.0,39.7,Liquid,Chain
328,9.5,Single cylinder,40.0,39.7,Liquid,Chain
329,9.5,Single cylinder,40.0,39.7,Liquid,Chain
332,12.6,Single cylinder,56.5,49.5,Air,Chain
333,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
334,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
335,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
337,12.5,Single cylinder,56.0,49.5,Air,Chain
338,12.5,Single cylinder,56.0,49.5,Air,Chain
339,12.5,Single cylinder,56.5,49.5,Air,Chain
340,12.5,Single cylinder,56.5,49.5,Air,Chain
341,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
342,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
343,20.0,Single cylinder,69.0,62.2,Oil & air,Chain
344,12.5,Single cylinder,56.0,49.5,Air,Chain
345,12.5,Single cylinder,56.0,49.5,Air,Chain
346,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
347,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
348,20.0,Single cylinder,69.0,62.2,Oil & air,Chain
349,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
350,12.6,Single cylinder,56.5,49.5,Air,Chain
351,12.6,Single cylinder,56.5,49.5,Air,Chain
353,20.0,Single cylinder,69.0,62.2,Oil & air,Chain
354,12.6,Single cylinder,56.5,49.5,Air,Chain
355,12.6,Single cylinder,56.5,49.5,Air,Chain
357,20.0,Single cylinder,69.0,62.2,Oil & air,Chain
358,12.5,Single cylinder,56.5,49.5,Air,Chain
361,12.5,Single cylinder,56.5,49.5,Air,Chain
364,12.6,Single cylinder,56.0,49.5,Air,Chain
365,12.6,Single cylinder,59.5,49.5,Air,Chain
373,18.0,Single cylinder,69.0,53.0,Oil & air,Chain
377,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
378,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
379,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
380,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
382,12.6,Single cylinder,56.5,49.5,Air,Chain
383,12.6,Single cylinder,56.5,49.5,Air,Chain
384,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
385,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
386,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
387,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
389,12.6,Single cylinder,56.0,49.5,Air,Chain
390,12.6,Single cylinder,56.5,49.5,Air,Chain
391,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
392,20.0,Single cylinder,69.0,62.2,Oil & air,Chain
393,20.0,Single cylinder,69.0,62.5,Oil & air,Chain
394,27.5,Single cylinder,77.0,53.6,Oil & air,Chain
395,27.5,Single cylinder,77.0,53.6,Oil & air,Chain
396,27.5,Single cylinder,77.0,53.6,Oil & air,Chain
397,27.5,Single cylinder,77.0,53.6,Oil & air,Chain
398,27.5,Single cylinder,77.0,53.6,Oil & air,Chain
399,27.5,Single cylinder,77.0,53.6,Oil & air,Chain
401,27.5,Single cylinder,77.0,53.6,Oil & air,Chain
402,27.5,Single cylinder,77.0,53.6,Oil & air,Chain
404,27.5,Single cylinder,77.0,53.6,Liquid,Chain
405,27.5,Single cylinder,77.0,53.6,Liquid,Chain
406,48.0,Single cylinder,100.0,74.4,Liquid,Chain
408,48.0,Single cylinder,100.0,76.4,Liquid,Chain
409,48.0,Single cylinder,100.0,76.4,Liquid,Chain
410,48.0,Single cylinder,100.0,76.4,Liquid,Chain
414,38.0,Single cylinder,97.0,67.5,Oil & air,Chain
415,10.1,Single cylinder,54.0,54.0,Air,Chain
416,10.1,Single cylinder,54.0,54.0,Air,Chain
418,9.8,Single cylinder,54.0,54.0,Air,Chain
419,9.8,Single cylinder,54.0,54.0,Air,Chain
420,7.4,Single cylinder,52.4,57.8,Air,Belt
421,11.0,Twin,44.0,40.0,Liquid,Chain
422,11.0,Twin,44.0,40.0,Liquid,Chain
423,11.0,Twin,44.0,40.0,Liquid,Chain
424,9.9,Single cylinder,54.0,54.0,Air,Chain
425,9.9,Single cylinder,54.0,54.0,Air,Chain
426,9.9,Single cylinder,54.0,54.0,Air,Chain
427,9.9,Single cylinder,54.0,54.0,Air,Chain
428,9.9,Single cylinder,54.0,54.0,Air,Chain
429,11.0,Single cylinder,56.5,49.5,Air,Chain
430,3.5,Single cylinder,40.0,39.2,Air,Belt
431,11.4,Twin,44.0,40.0,Liquid,Chain
432,11.0,Twin,44.0,40.0,Liquid,Chain
433,11.0,Twin,44.0,40.0,Liquid,Chain
434,11.0,Twin,44.0,40.0,Liquid,Chain
435,11.0,Twin,44.0,40.0,Liquid,Chain
436,11.0,Twin,44.0,40.0,Liquid,Chain
437,11.0,Twin,44.0,40.0,Liquid,Chain
439,2.0,Single cylinder,39.0,41.5,Air,Belt
440,2.0,Single cylinder,39.0,41.5,Air,Belt
441,2.0,Single cylinder,39.0,41.5,Air,Belt
442,10.1,Single cylinder,54.0,54.0,Air,Chain
443,10.1,Single cylinder,54.0,54.0,Air,Chain
445,10.1,Single cylinder,54.0,54.0,Air,Chain
447,11.0,Twin,44.0,40.0,Liquid,Chain
448,11.0,Twin,44.0,40.0,Liquid,Chain
449,23.0,Twin,62.0,53.0,Liquid,Chain
450,6.2,Single cylinder,52.4,57.8,Air,Belt
451,6.2,Single cylinder,52.4,57.8,Air,Belt
452,2.5,Single cylinder,40.0,39.2,Air,Belt
454,2.5,Single cylinder,40.0,39.2,Air,Belt
455,3.0,Single cylinder,40.0,39.2,Air,Belt
456,3.0,Single cylinder,39.0,41.5,Air,Belt
457,3.0,Single cylinder,39.0,41.5,Air,Belt
465,11.3,Single cylinder,54.0,54.0,Air,Chain
469,10.7,Single cylinder,54.0,54.0,Air,Chain
470,4.7,Single cylinder,40.0,39.2,Liquid,Chain
471,4.7,Single cylinder,40.0,39.2,Liquid,Chain
472,4.7,Single cylinder,40.0,39.2,Liquid,Chain
474,10.1,Single cylinder,54.0,54.0,Air,Chain
477,17.0,Single cylinder,69.9,64.9,Air,Chain
478,17.0,Single cylinder,69.9,64.9,Air,Chain
479,17.0,Single cylinder,69.9,64.9,Air,Chain
480,17.0,Single cylinder,69.9,64.9,Air,Chain
481,17.0,Single cylinder,69.9,64.9,Air,Chain
482,17.0,Single cylinder,69.9,64.9,Air,Chain
494,18.0,Single cylinder,69.0,93.0,Air,Chain
495,18.0,Single cylinder,69.0,93.0,Air,Chain
496,18.0,Single cylinder,69.0,93.0,Air,Chain
497,18.0,Single cylinder,69.0,93.0,Air,Chain
498,18.0,Single cylinder,69.0,93.0,Air,Chain
499,18.0,Single cylinder,69.0,93.0,Air,Chain
500,18.0,Single cylinder,69.0,93.0,Air,Chain
501,18.0,Single cylinder,69.0,93.0,Air,Chain
502,18.0,Single cylinder,69.0,93.0,Air,Chain
503,18.0,Single cylinder,69.0,93.0,Air,Chain
504,18.0,Single cylinder,69.0,93.0,Air,Chain
505,18.0,Single cylinder,69.0,93.0,Air,Chain
506,18.0,Single cylinder,69.0,93.0,Air,Chain
507,18.0,Single cylinder,69.0,93.0,Air,Chain
508,18.0,Single cylinder,69.0,93.0,Air,Chain
509,18.0,Single cylinder,69.0,93.0,Air,Chain
510,18.0,Single cylinder,69.0,93.0,Air,Chain
511,18.0,Single cylinder,69.0,93.0,Air,Chain
512,18.0,Single cylinder,69.0,93.0,Air,Chain
516,28.0,Single cylinder,86.0,85.5,Air,Chain
517,28.0,Single cylinder,86.0,85.5,Air,Chain
518,28.0,Single cylinder,86.0,85.5,Air,Chain
519,20.0,Twin,66.0,72.8,Air,Chain
520,20.0,Twin,66.0,72.8,Air,Chain
521,20.0,Twin,66.0,72.8,Air,Chain
522,20.0,Twin,66.0,72.8,Air,Chain
523,20.0,Twin,66.0,72.8,Air,Chain
524,20.0,Twin,66.0,72.8,Air,Chain
525,20.0,Twin,66.0,72.8,Air,Chain
526,20.0,Twin,66.0,72.8,Air,Chain
527,20.0,Twin,66.0,72.8,Air,Chain
528,20.0,Twin,66.0,72.8,Air,Chain
529,20.0,Twin,66.0,72.8,Air,Chain
530,33.0,V2,72.0,72.8,Air,Chain
531,33.0,V2,72.0,72.8,Air,Chain
532,31.4,Twin,72.0,79.3,Air,Chain
533,31.4,Twin,72.0,79.3,Air,Chain
534,31.4,Twin,72.0,79.3,Air,Chain
535,31.4,V2,72.0,79.3,Air,Chain
536,31.4,V2,72.0,79.3,Air,Chain
537,31.4,V2,72.0,79.3,Air,Chain
538,31.4,Twin,72.0,79.3,Air,Chain
539,31.4,Twin,72.0,79.3,Air,Chain
540,21.0,Single cylinder,72.0,82.5,Air,Chain
541,21.0,Single cylinder,72.0,82.5,Air,Chain
542,21.0,Single cylinder,72.0,82.5,Air,Chain
543,21.0,Single cylinder,72.0,82.5,Air,Chain
544,7.1,Single cylinder,52.4,57.8,Air,Belt
545,7.1,Single cylinder,52.4,57.8,Air,Belt
546,7.1,Single cylinder,52.4,57.8,Air,Belt
547,7.1,Single cylinder,52.4,57.8,Air,Belt
548,3.0,Single cylinder,39.0,41.5,Air,Belt
549,3.0,Single cylinder,39.0,41.5,Air,Belt
550,11.4,Twin,44.0,40.0,Liquid,Chain
551,11.4,Twin,44.0,40.0,Liquid,Chain
552,11.4,Twin,44.0,40.0,Liquid,Chain
553,11.4,Twin,44.0,40.0,Liquid,Chain
554,10.6,Single cylinder,56.0,49.0,Air,Chain
555,10.6,Single cylinder,56.0,49.0,Air,Chain
560,23.0,Twin,62.0,53.0,Liquid,Chain
561,11.0,Twin,44.0,40.0,Liquid,Chain
563,11.0,Twin,44.0,40.0,Liquid,Chain
564,11.0,Twin,44.0,40.0,Liquid,Chain
565,17.0,Twin,53.0,53.0,Liquid,Chain
566,11.0,Twin,44.0,40.0,Liquid,Chain
567,11.0,Twin,44.0,40.0,Liquid,Chain
568,7.1,Single cylinder,52.4,57.8,Air,Belt
569,23.0,Twin,62.0,53.0,Liquid,Chain
570,23.0,Twin,62.0,53.0,Liquid,Chain
571,25.0,Single cylinder,68.0,68.0,Air,Chain
572,9.9,Single cylinder,54.0,54.0,Air,Chain
573,9.5,Single cylinder,54.0,54.0,Air,Chain
574,9.5,Single cylinder,54.0,54.0,Air,Chain
575,9.9,Single cylinder,54.0,54.0,Air,Chain
576,9.9,Single cylinder,54.0,54.0,Air,Chain
577,9.9,Single cylinder,54.0,54.0,Air,Chain
578,10.2,Single cylinder,56.0,49.0,Air,Chain
579,10.2,Single cylinder,56.0,49.0,Air,Chain
595,16.0,Twin,45.0,78.0,Air,Chain
596,16.0,Twin,45.0,78.0,Air,Chain
609,56.0,Four cylinder boxer,85.0,69.0,Air,Chain
637,47.0,Single cylinder,72.0,61.0,Liquid,Chain
638,47.0,Single cylinder,72.0,61.0,Liquid,Chain
639,25.0,Single cylinder,54.0,54.5,Liquid,Chain
641,27.0,Single cylinder,54.0,54.5,Liquid,Chain
642,25.0,Single cylinder,54.0,54.5,Liquid,Chain
643,27.0,Single cylinder,54.0,54.5,Liquid,Chain
644,27.0,Single cylinder,54.0,54.5,Liquid,Chain
645,25.0,Single cylinder,54.0,54.5,Liquid,Chain
646,14.8,Single cylinder,57.0,48.6,Liquid,Chain
648,15.0,Single cylinder,57.0,48.6,Liquid,Belt
651,22.8,Single cylinder,71.9,59.9,Liquid,Belt
652,20.1,Single cylinder,72.0,60.0,Liquid,Belt
653,21.2,Single cylinder,72.0,60.0,Liquid,Belt
660,34.0,Single cylinder,86.0,69.0,Liquid,Belt
663,39.0,Single cylinder,92.0,69.0,Liquid,Belt
664,29.0,Single cylinder,92.0,69.0,Liquid,Chain
665,36.9,Single cylinder,92.0,69.0,Liquid,Belt
666,36.9,Single cylinder,92.0,69.0,Liquid,Belt
670,128.0,V2,106.0,67.8,Liquid,Chain
671,125.0,V2,106.0,67.8,Liquid,Chain
672,125.0,V2,106.0,67.8,Liquid,Chain
673,125.0,V2,106.0,67.8,Liquid,Chain
674,125.0,V2,106.0,67.8,Liquid,Chain
675,125.0,V2,106.0,67.8,Liquid,Chain
676,125.0,V2,106.0,67.8,Liquid,Chain
677,125.0,V2,106.0,67.8,Liquid,Chain
678,125.0,V2,106.0,67.8,Liquid,Chain
679,125.0,V2,106.0,67.8,Liquid,Chain
680,125.0,V2,106.0,67.8,Liquid,Chain
681,125.0,V2,106.0,67.8,Liquid,Chain
682,125.0,V2,106.0,67.8,Liquid,Chain
683,125.0,V2,106.0,67.8,Liquid,Chain
684,98.0,Twin,97.0,67.5,Liquid,Chain
686,98.0,Twin,97.0,67.5,Liquid,Chain
687,98.0,V2,97.0,67.5,Liquid,Chain
688,92.0,Twin,97.0,67.5,Liquid,Chain
695,128.0,V2,106.0,67.8,Liquid,Chain
696,128.0,V2,106.0,67.8,Liquid,Chain
697,130.0,V2,106.0,67.8,Liquid,Chain
698,128.0,V2,106.0,67.8,Liquid,Chain
699,130.0,V2,106.0,67.8,Liquid,Chain
700,130.0,V2,106.0,67.8,Liquid,Chain
701,125.0,V2,106.0,67.8,Liquid,Chain
703,92.0,V2,92.0,56.4,Liquid,Chain
704,90.3,V2,92.0,56.4,Liquid,Chain
705,90.3,V2,92.0,56.4,Liquid,Chain
706,90.3,V2,92.0,56.4,Liquid,Chain
707,90.3,V2,92.0,56.4,Liquid,Chain
710,90.3,V2,92.0,56.4,Liquid,Chain
711,90.3,V2,92.0,56.4,Liquid,Chain
712,90.3,V2,92.0,56.4,Liquid,Chain
713,90.3,V2,92.0,56.4,Liquid,Chain
714,92.0,V2,92.0,56.4,Liquid,Chain
715,92.0,V2,92.0,56.4,Liquid,Chain
716,92.0,V2,92.0,56.4,Liquid,Chain
717,90.3,V2,92.0,56.4,Liquid,Chain
718,90.3,V2,92.0,56.4,Liquid,Chain
719,90.3,V2,92.0,56.4,Liquid,Chain
720,90.3,V2,92.0,56.4,Liquid,Chain
721,90.3,V2,92.0,56.4,Liquid,Chain
722,90.3,V2,92.0,56.4,Liquid,Chain
723,95.2,V2,92.0,67.4,Liquid,Chain
724,95.2,V2,92.0,67.4,Liquid,Chain
725,95.2,V2,92.0,67.4,Liquid,Chain
726,95.2,V2,92.0,67.4,Liquid,Chain
727,95.2,V2,92.0,67.4,Liquid,Chain
728,95.2,V2,92.0,67.4,Liquid,Chain
730,98.0,V2,97.0,67.5,Liquid,Chain
732,98.0,V2,97.0,67.5,Liquid,Shaft drive
733,98.0,V2,97.0,67.5,Liquid,Shaft drive
735,98.0,V2,97.0,67.5,Liquid,Chain
736,17.0,Single cylinder,54.0,54.0,Liquid,Chain
737,12.2,Single cylinder,54.0,54.5,Liquid,Chain
742,27.0,Single cylinder,79.5,70.4,Air,Chain
743,33.0,Single cylinder,79.5,70.4,Air,Chain
744,27.0,Single cylinder,79.5,70.4,Air,Chain
745,27.0,Single cylinder,79.5,70.4,Air,Chain
746,33.0,Single cylinder,79.5,70.4,Air,Chain
747,27.0,Single cylinder,79.5,70.4,Air,Chain
748,49.0,Single cylinder,94.0,81.0,Air,Chain
749,49.0,Single cylinder,94.0,81.0,Air,Chain
750,49.0,Single cylinder,94.0,81.0,Air,Chain
760,75.1,V2,88.0,69.0,Liquid,Chain
761,75.1,V2,88.0,69.0,Liquid,Chain
762,75.1,V2,88.0,69.0,Liquid,Chain
763,75.1,V2,88.0,69.0,Liquid,Chain
764,75.1,V2,88.0,69.0,Liquid,Chain
765,75.1,V2,88.0,69.0,Liquid,Chain
766,75.1,V2,88.0,69.0,Liquid,Chain
767,75.1,V2,88.0,69.0,Liquid,Chain
769,76.1,V2,88.0,69.0,Liquid,Chain
770,75.1,V2,88.0,69.0,Liquid,Chain
771,75.1,V2,88.0,69.0,Liquid,Chain
772,75.1,V2,88.0,69.0,Liquid,Chain
773,75.1,V2,88.0,69.0,Liquid,Chain
774,75.1,V2,88.0,69.0,Liquid,Chain
775,3.0,Single cylinder,39.0,41.7,Air,Chain
776,2.0,Single cylinder,39.0,41.7,Air,Chain
777,9.0,Single cylinder,39.0,41.3,Air,Chain
778,9.0,Single cylinder,39.0,41.8,Air,Chain
788,42.0,Single cylinder,100.0,82.7,Liquid,Chain
792,15.0,Single cylinder,54.0,54.6,Liquid,Chain
803,73.9,Twin,88.0,69.0,Liquid,Chain
804,23.0,Single cylinder,54.0,54.5,Liquid,Chain
805,23.0,Single cylinder,54.0,54.5,Liquid,Chain
806,23.0,Single cylinder,54.0,54.5,Liquid,Chain
807,45.0,Single cylinder,94.0,81.0,Air,Chain
808,45.0,Single cylinder,94.0,81.0,Air,Chain
809,27.0,Single cylinder,94.0,81.0,Air,Chain
810,48.0,Single cylinder,100.0,83.0,Liquid,Chain
811,48.0,Single cylinder,100.0,83.0,Liquid,Chain
815,49.0,Single cylinder,100.0,83.0,Liquid,Chain
818,48.0,Single cylinder,100.0,84.0,Liquid,Chain
819,40.0,Single cylinder,100.0,84.0,Liquid,Chain
820,48.0,Single cylinder,100.0,84.0,Liquid,Chain
821,48.0,Single cylinder,100.0,84.0,Liquid,Chain
822,48.0,Single cylinder,100.0,84.0,Liquid,Chain
823,48.0,Single cylinder,100.0,84.0,Liquid,Chain
824,27.0,Single cylinder,100.0,83.0,Liquid,Chain
828,48.0,Single cylinder,100.0,84.0,Liquid,Chain
829,48.0,Single cylinder,100.0,84.0,Liquid,Chain
830,48.0,Single cylinder,100.0,84.0,Liquid,Chain
831,48.0,Single cylinder,100.0,84.0,Liquid,Chain
833,49.0,Single cylinder,100.0,83.0,Liquid,Chain
834,47.0,Single cylinder,100.0,83.0,Liquid,Chain
835,50.0,Single cylinder,100.0,85.0,Liquid,Chain
836,50.0,Single cylinder,100.0,84.0,Liquid,Chain
839,48.0,Single cylinder,100.0,84.0,Liquid,Chain
841,48.0,Single cylinder,100.0,84.0,Liquid,Chain
842,48.0,Single cylinder,100.0,84.0,Liquid,Chain
844,47.0,Single cylinder,100.0,83.0,Liquid,Chain
845,47.0,Single cylinder,100.0,83.0,Liquid,Chain
847,35.0,Single cylinder,100.0,83.0,Liquid,Chain
850,15.0,Single cylinder,54.0,54.4,Liquid,Chain
861,28.2,Single cylinder,54.0,54.7,Liquid,Chain
862,28.2,Single cylinder,58.0,47.0,Liquid,Chain
863,28.2,Single cylinder,58.0,47.0,Liquid,Chain
864,28.2,Single cylinder,58.0,47.0,Liquid,Chain
865,14.8,Single cylinder,58.0,47.0,Liquid,Chain
866,15.0,Single cylinder,58.0,47.0,Liquid,Chain
867,15.0,Single cylinder,58.0,47.0,Liquid,Chain
868,15.0,Single cylinder,58.0,47.0,Liquid,Chain
872,15.0,Single cylinder,58.0,47.0,Liquid,Chain
873,15.0,Single cylinder,58.0,47.0,Liquid,Chain
878,69.0,V2,56.0,50.6,Liquid,Chain
879,55.0,V2,56.0,50.6,Liquid,Chain
903,100.0,Twin,81.0,63.9,Liquid,Chain
904,100.0,Twin,81.0,63.9,Liquid,Chain
905,46.9,Twin,81.0,63.9,Liquid,Chain
906,46.9,Twin,81.0,63.9,Liquid,Chain
907,100.0,Twin,81.0,63.9,Liquid,Chain
908,255.0,V4,78.0,52.3,Liquid,Chain
909,16.0,Single cylinder,58.0,47.0,Liquid,Chain
910,16.0,Single cylinder,58.0,47.0,Liquid,Chain
911,16.0,Single cylinder,58.0,47.0,Liquid,Chain
912,15.0,Single cylinder,58.0,47.0,Liquid,Chain
913,15.0,Single cylinder,58.0,47.0,Liquid,Chain
914,15.0,Single cylinder,58.0,47.0,Liquid,Chain
915,15.0,Single cylinder,58.0,47.0,Liquid,Chain
916,15.0,Single cylinder,58.0,47.0,Liquid,Chain
917,16.0,Single cylinder,58.0,47.0,Liquid,Chain
918,15.0,Single cylinder,58.0,47.0,Liquid,Chain
919,15.0,Single cylinder,58.0,47.0,Liquid,Chain
920,15.0,Single cylinder,58.0,47.0,Liquid,Chain
921,15.0,Single cylinder,58.0,47.0,Liquid,Chain
922,15.0,Single cylinder,58.0,47.0,Liquid,Chain
936,113.0,V2,97.0,67.5,Liquid,Chain
938,114.0,Twin,97.0,67.5,Liquid,Chain
939,114.0,V2,97.0,67.5,Liquid,Chain
940,138.0,V2,97.0,67.5,Oil & air,Chain
941,138.0,V2,97.0,67.5,Oil & air,Chain
942,141.0,V2,97.0,67.5,Oil & air,Chain
943,141.0,V2,97.0,67.5,Oil & air,Chain
944,138.0,V2,97.0,67.5,Oil & air,Chain
945,138.0,V2,97.0,67.5,Oil & air,Chain
